ID,Sub Tag Path,FIELD <Equip_Description>
Line1_Mixer_63,[default]SPG/Line 1/Mixer/SYS_5_LIW/OC/Equip_Description,Line 1 LIW FEEDER 5
Line1_Mixer_64,[default]SPG/Line 1/Mixer/SYS_5_LIW/OT/Equip_Description,Line 1 LIW FEEDER 5
Line1_Mixer_65,[default]SPG/Line 1/Mixer/SYS_5_LIW/SD/Equip_Description,Line 1 LIW FEEDER 5
Line1_Mixer_66,[default]SPG/Line 1/Mixer/SYS_5_LIW/SE/Equip_Description,Line 1 LIW FEEDER 5
Line1_Mixer_67,[default]SPG/Line 1/Mixer/SYS_5_LIW/SF/Equip_Description,Line 1 LIW FEEDER 5
Line1_Mixer_68,[default]SPG/Line 1/Mixer/SYS_5_LIW/SS/Equip_Description,Line 1 LIW FEEDER 5
Line1_Mixer_69,[default]SPG/Line 1/Mixer/SYS_5_LIW/UT/Equip_Description,Line 1 LIW FEEDER 5
Line1_Mixer_70,[default]SPG/Line 1/Mixer/SYS_5_LIW/ZT/Equip_Description,Line 1 LIW FEEDER 5
Line1_Mixer_71,[default]SPG/Line 1/Mixer/SYS_6_LIW/HR/Equip_Description,Line 1 LIW FEEDER 
Line1_Mixer_72,[default]SPG/Line 1/Mixer/SYS_6_LIW/LR/Equip_Description,Line 1 LIW FEEDER 
Line1_Mixer_73,[default]SPG/Line 1/Mixer/SYS_6_LIW/OC/Equip_Description,Line 1 LIW FEEDER 
Line1_Mixer_74,[default]SPG/Line 1/Mixer/SYS_6_LIW/OT/Equip_Description,Line 1 LIW FEEDER 
Line1_Mixer_75,[default]SPG/Line 1/Mixer/SYS_6_LIW/SD/Equip_Description,Line 1 LIW FEEDER 
Line1_Mixer_76,[default]SPG/Line 1/Mixer/SYS_6_LIW/SE/Equip_Description,Line 1 LIW FEEDER 
Line1_Mixer_77,[default]SPG/Line 1/Mixer/SYS_6_LIW/SF/Equip_Description,Line 1 LIW FEEDER 
Line1_Mixer_78,[default]SPG/Line 1/Mixer/SYS_6_LIW/SS/Equip_Description,Line 1 LIW FEEDER 
Line1_Mixer_79,[default]SPG/Line 1/Mixer/SYS_6_LIW/UT/Equip_Description,Line 1 LIW FEEDER 
Line1_Mixer_80,[default]SPG/Line 1/Mixer/SYS_6_LIW/ZT/Equip_Description,Line 1 LIW FEEDER 
